Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
7979.113,0.22156,48.664,583.968,185.129,31.702,398.839
8169.092,0.21774,47.831,573.972,186.269,32.453,387.703
8359.071,0.21392,46.998,563.976,187.257,33.203,376.719
8549.05,0.2101,46.165,553.98,188.093,33.953,365.887
8739.029,0.20628,45.332,543.984,188.777,34.703,355.207
8929.008,0.20246,44.499,533.988,189.309,35.452,344.679
9118.987,0.19864,43.666,523.992,189.689,36.201,334.303
9308.966,0.19482,42.833,513.996,189.917,36.949,324.079
9498.945,0.191,42,504,189.993,37.697,314.007
9688.923,0.18718,41.167,494.004,189.917,38.444,304.087
9878.902,0.18336,40.334,484.008,189.689,39.191,294.319
10068.881,0.17954,39.501,474.012,189.309,39.938,284.703
10258.86,0.17572,38.668,464.016,188.777,40.683,275.239
10448.839,0.1719,37.835,454.02,188.093,41.428,265.927
10638.818,0.16808,37.002,444.024,187.257,42.173,256.767
10828.797,0.16426,36.169,434.028,186.269,42.916,247.759
11018.776,0.16044,35.336,424.032,185.129,43.659,238.903
11208.755,0.15662,34.504,414.048,183.837,44.4,230.211
11398.733,0.1528,33.671,404.052,182.393,45.141,221.659
11588.712,0.14898,32.838,394.056,180.797,45.881,213.259
11778.691,0.14516,32.005,384.06,179.049,46.62,205.011
11968.67,0.14134,31.172,374.064,177.149,47.358,196.915
12158.649,0.13752,30.339,364.068,175.097,48.095,188.971
12348.628,0.1337,29.506,354.072,172.894,48.83,181.178
12538.607,0.12988,28.673,344.076,170.538,49.564,173.538
12728.586,0.12606,27.84,334.08,168.03,50.296,166.05
12918.565,0.12224,27.007,324.084,165.37,51.027,158.714
13108.543,0.11842,26.174,314.088,162.558,51.756,151.53
13298.522,0.1146,25.341,304.092,159.594,52.482,144.498
13488.501,0.11078,24.508,294.096,156.478,53.206,137.618
13678.48,0.10696,23.675,284.1,153.21,53.928,130.89
13868.459,0.10314,22.842,274.104,149.79,54.647,124.314
14058.438,0.09932,22.009,264.108,146.219,55.363,117.889
14248.417,0.0955,21.177,254.124,142.495,56.073,111.629
14438.396,0.09168,20.344,244.128,138.619,56.781,105.509
14628.375,0.08786,19.511,234.132,134.591,57.485,99.541
14818.353,0.08404,18.678,224.136,130.411,58.184,93.725
15008.332,0.08022,17.845,214.14,126.079,58.877,88.061
15198.311,0.0764,17.012,204.144,121.595,59.563,82.549
15388.29,0.07258,16.179,194.148,116.96,60.243,77.188
15578.269,0.06876,15.346,184.152,112.172,60.913,71.98
15768.248,0.06494,14.513,174.156,107.232,61.572,66.924
15958.227,0.06112,13.68,164.16,102.14,62.22,62.02
16148.206,0.0573,12.847,154.164,96.896,62.853,57.268
16338.185,0.05348,12.014,144.168,91.501,63.468,52.667
16528.163,0.04966,11.181,134.172,85.953,64.062,48.219
16718.142,0.04584,10.348,124.176,80.253,64.628,43.923
16908.121,0.04202,9.515,114.18,74.401,65.161,39.779
17098.1,0.0382,8.682,104.184,68.397,65.65,35.787
17288.079,0.03438,7.849,94.188,62.242,66.083,31.946
17478.058,0.03056,7.017,84.204,55.934,66.427,28.27
17668.037,0.02674,6.184,74.208,49.474,66.669,24.734
17858.016,0.02292,5.351,64.212,42.862,66.751,21.35
18047.995,0.0191,4.518,54.216,36.099,66.584,18.117
18237.973,0.01528,3.685,44.22,29.183,65.995,15.037
18427.952,0.01146,2.852,34.224,22.115,64.618,12.109
18617.931,0.00764,2.019,24.228,14.895,61.478,9.333
18807.91,0.00382,1.186,14.232,7.524,52.867,6.708
18997.889,0,0.353,4.236,0,0,4.236
