Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
4800,0.4012684989429175,16.205073995771667,0,211.43436864,0,0
4850,0.37836504580690616,15.280126849894286,0,201.44292809750004,0,0
4900,0.3554615926708951,14.355179704016917,0,191.2000673099999,0,0
4950,0.3325581395348837,13.430232558139535,0,180.7057862775,0,0
5000,0.3096546863988724,12.505285412262154,0,169.96008499999994,0,0
5050,0.28675123326286106,11.580338266384773,0,158.9629634774999,0,0
5100,0.26384778012685,10.655391120507403,0,147.7144217099999,0,0
5150,0.24094432699083865,9.730443974630022,0,136.21445969750016,0,0
5200,0.21804087385482732,8.805496828752641,0,124.46307744000023,0,0
5250,0.19513742071881598,7.880549682875261,0,112.46027493750012,0,0
5300,0.17223396758280493,6.95560253699789,0,100.20605219000026,0,0
5350,0.14933051444679357,6.03065539112051,0,87.70040919750022,0,0
5400,0.12642706131078224,5.105708245243129,0,74.94334596000022,0,0
5450,0.1035236081747709,4.180761099365747,0,61.93486247750002,0,0
5500,0.08062015503875984,3.255813953488378,0,48.67495875000009,0,0
5550,0.05771670190274849,2.3308668076109966,0,35.16363477750019,0,0
5600,0.03481324876673715,1.4059196617336156,0,21.400890560000107,0,0
5650,0.011909795630725806,0.48097251585623446,0,7.386726097500059,0,0
5676,0.0,0.0,0,-7.038240710244281e-07,0,0
